Card_ID,Card Network,Card Type,Segment,Issuer Bank,Issuance Country,Issue_Date,Expiry_Date,Status,_source_extract_date
CARD00062,Meridian Primary,Credit,Consumer,Silverline Bank,Japan,2024-01-12,2028-01-12,Active,2026-01-05
CARD00485,Meridian Primary,Credit,Consumer,Unity Trust Bank,US,2025-02-28,02/28/2029,Active,2026-01-05
CARD00356,Meridian Primary,Debit,Commercial,Meridian Community Bank,US,10/27/2020,2024-10-27,unknown,2026-01-05
CARD00054,Meridian Direct,Debit,Consumer,Crestview Bank,Australia,11-10-2019,10/11/2023,Active ,2026-01-05
CARD00390,Meridian Direct,Debit,Consumer,Crestview Bank,GB,05/17/2025,05/17/2029, Active,2026-01-05
CARD00519,Meridian Affiliate,Credit,Consumer,Andes Financial Group,IN,2022-11-02,46328, Active,2026-01-05
CARD00688,Meridian Primary,Debit,Consumer, Alta Financial ,IN,12/25/2024,2028-12-25,Active ,2026-01-05
CARD00557,Meridian Primary,Prepaid,Consumer,Meridian Community Bank,Mexico,2022-10-20,2026-10-20,Active,2026-01-05
CARD00712,meridian primary,Debit,Commercial,Silverline Bank,United States,03/08/2020,2024-03-08,active,2026-01-05
CARD00309,Meridian Direct,Debit,Consumer,Alta Financial,United States,2020-10-31,31-10-2024,Active,2026-01-05
CARD00738,Meridian Direct,Debit,Consumer,Unity Trust Bank,DE,44510,11/10/2025,None,2026-01-05
CARD00389,meridian direct,Credit,Consumer,Meridian Community Bank,US,2022-11-29,2026-11-29, Active,2026-01-05
CARD00014,MERIDIAN PRIMARY,Prepaid,Consumer,Northbridge Bank,CA,2020-11-27,2024-11-27,active,2026-01-05
CARD00143,Meridian Primary,Debit,Consumer,EuroTrust Bank,IN,12/29/2023,29-12-2027,Active,2026-01-05
CARD00254,Meridian Primary,Debit,Consumer,Silverline Bank,Mexico,2020-02-03,02/03/2024,Active,2026-01-05
CARD00524,MERIDIAN DIRECT,Credit,Consumer,Pacific Rim Bank,BR,2019-03-01,2023-03-01,Active,2026-01-05
CARD00450,Meridian Primary,Debit,Consumer,N/A,SG,2019-08-03,2023-08-03,BLOCKED,2026-01-05
CARD00297,Meridian Direct,Credit,Consumer,Ridgeway Bank,IN,2021-06-11,06/11/2025,ACTIVE,2026-01-05
CARD00109,Meridian Primary,Credit,Consumer  ,Meridian Community Bank,Australia,2021-08-14,2025-08-14,Active,2026-01-05
CARD00180,Meridian Primary,Debit,Consumer,Gulf Horizon Bank,US,2021-05-25,2025-05-25,Active,2026-01-05
CARD00727,Meridian Primary,Credit,Consumer  ,EuroTrust Bank,Japan,2020-10-27,2024-10-27,active,2026-01-05
CARD00527,Meridian Primary,Credit,Consumer,Gulf Horizon Bank,France,2019-10-26,2023-10-26,Active,2026-01-05
CARD00410,Meridian Primary,Prepaid,Consumer,EuroTrust Bank,United Kingdom,2023-02-24,2027-02-24,Inactive,2026-01-05
CARD00452,meridian primary,Credit,Consumer,Northbridge Bank,AU,44480,10/11/2025,Active,2026-01-05
CARD00564,MERIDIAN PRIMARY,Debit,Consumer,Alta Financial,US,2021-04-30,2025-04-30,Active ,2026-01-05
CARD00735,Meridian Primary,Credit,Consumer,Harbor National Bank,IN,14-08-2024,2028-08-14,Inactive,2026-01-05
CARD00317,MERIDIAN PRIMARY,Credit,Commercial,Meridian Community Bank,AE,2024-02-11,2028-02-11,Active,2026-01-05
CARD00740,Meridian Primary,Credit,Consumer,Ridgeway Bank,US,2023-01-29,01/29/2027, Active,2026-01-05
CARD00295,Meridian  Primary,Credit,Consumer,Meridian Community Bank,AU,2022-05-20,2026-05-20,active,2026-01-05
CARD00755,Meridian Primary,Credit,Consumer,EuroTrust Bank,JP,2020-07-16,2024-07-16,Active,2026-01-05
CARD00575,Meridian Direct,Credit,Consumer,EuroTrust Bank,AE,02/10/2025,2029-02-10, Active,2026-01-05
CARD00799,meridian direct,Credit,Consumer,Andes Financial Group,ae,2020-09-24,2024-09-24,Active,2026-01-05
CARD00443,Meridian  Primary,Debit,Consumer,Harbor National Bank,AU,2025-04-26,47234,Blocked,2026-01-05
CARD00640,meridian primary,Debit,Consumer,N/A,JP,2025-02-15,15-02-2029,active,2026-01-05
CARD00438,Meridian  Direct,Credit,Consumer,Unity Trust Bank,Mexico,2022-10-12,2026-10-12,Inactive,2026-01-05
CARD00774,Meridian Primary,Debit,Consumer,Crestview Bank,United Kingdom,2022-12-20,12/20/2026,active,2026-01-05
CARD00413,meridian affiliate,Credit,Commercial,Northbridge Bank,United Kingdom,2019-06-16,06/16/2023,ACTIVE,2026-01-05
CARD00135,Meridian Affiliate,Credit,  Consumer,Harbor National Bank,India,04-10-2020,10/04/2024,active,2026-01-05
CARD00481,Meridian  Primary,Debit,Consumer,Silverline Bank,BR,01/26/2020,2024-01-26,Active,2026-01-05
CARD00128,Meridian  Direct,Credit,Commercial,Crestview Bank,IN,2025-04-10,10-04-2029,Active,2026-01-05
CARD00243,MERIDIAN AFFILIATE,Credit,Consumer,Ridgeway Bank,de,2024-06-22,2028-06-22,Active,2026-01-05
CARD00049,Meridian Primary,Credit,Consumer,Andes Financial Group,France,2020-06-26,06/26/2024,Active,2026-01-05
CARD00454,Meridian Affiliate,Credit,Commercial,Pacific Rim Bank,DE,2025-07-17,2029-07-17,INACTIVE,2026-01-05
CARD00221,MERIDIAN PRIMARY,Debit,Consumer,Meridian Community Bank,sg,2024-01-02,2028-01-02,Active,2026-01-05
CARD00141,MERIDIAN AFFILIATE,Credit,Consumer,Meridian Community Bank,DE,2022-10-14,10/14/2026,INACTIVE,2026-01-05
CARD00366,Meridian  Primary,Debit,Consumer,Silverline Bank,us,10/02/2021,2025-10-02,Active,2026-01-05
CARD00396,Meridian Affiliate,Debit,Consumer,Alta Financial,India,2023-08-11,2027-08-11,Active,2026-01-05
CARD00253,Meridian Direct,Prepaid,Commercial,Pacific Rim Bank,Australia,2023-12-20,12/20/2027,ACTIVE,2026-01-05
CARD00016,Meridian Primary,Credit,Consumer,Northbridge Bank,Canada,10-12-2024,2028-12-10,Active,2026-01-05
CARD00061,meridian primary,Debit,Consumer, Crestview Bank ,FR,44599,2026-02-07,Active,2026-01-05
CARD00047,Meridian Primary,Credit,Consumer,Alta Financial,IN,19-10-2021,10/19/2025,Active,2026-01-05
CARD00337,Meridian Direct,Debit,Consumer,Northbridge Bank,AU,2022-09-16,2026-09-16,active,2026-01-05
CARD00729,Meridian  Primary,Debit,Consumer,Silverline Bank,United Kingdom,2022-11-13,2026-11-13,active,2026-01-05
CARD00553,Meridian Primary,Credit,Consumer,N/A,DE,2024-10-20,10/20/2028,Active ,2026-01-05
CARD00696,meridian primary,Debit,unknown,Harbor National Bank,India,01/17/2023,2027-01-17,Active,2026-01-05
CARD00062,Meridian Primary,Credit,Consumer,Silverline Bank,Japan,2024-01-12,2028-01-12,Active,2026-01-05
CARD00058,Meridian Primary,Credit,Consumer,Andes Financial Group,Brazil,2025-03-08,2029-03-08,ACTIVE,2026-01-05
CARD00329,Meridian Primary,Credit,Consumer,Unity Trust Bank,MX,02/07/2021,2025-02-07,Active,2026-01-05
CARD00245,Meridian  Primary,Debit,Commercial,Pacific Rim Bank,us,07/20/2022,2026-07-20,Active,2026-01-05
CARD00726,Meridian Direct,Credit,Commercial,Gulf Horizon Bank,FR,44295,2025-04-09,Active,2026-01-05
CARD00748,Meridian Primary,Debit,Consumer,Unity Trust Bank,US,2025-08-16,2029-08-16,Active,2026-01-05
CARD00763,Meridian Primary,Debit,Consumer,Silverline Bank,BR,2022-04-03,2026-04-03,Active,2026-01-05
CARD00354,MERIDIAN PRIMARY,Debit,Consumer,EuroTrust Bank,BR,09/30/2022,2026-09-30,Active,2026-01-05
CARD00257,Meridian Affiliate,Debit,Consumer,Northbridge Bank,Singapore,11/09/2022,2026-11-09,Active ,2026-01-05
CARD00753,Meridian Primary,Debit,Consumer,Alta Financial,United States,2019-05-20,05/20/2023,Active,2026-01-05
CARD00139,Meridian Primary,Credit,Consumer,Harbor National Bank,DE,03/23/2024,2028-03-23,Active ,2026-01-05
CARD00358,Meridian  Primary,Debit,Consumer,Harbor National Bank,India,2020-06-13,2024-06-13,ACTIVE,2026-01-05
CARD00587,Meridian  Primary,Debit,Commercial,Andes Financial Group,AU,2024-08-14,14-08-2028,Active,2026-01-05
CARD00290,meridian primary,Credit,Commercial,Pacific Rim Bank,DE,45881,12-08-2029,Active,2026-01-05
CARD00490,MERIDIAN DIRECT,Credit,Consumer,Pacific Rim Bank,AE,2022-09-13,2026-09-13,Active,2026-01-05
CARD00747,MERIDIAN PRIMARY,Debit,Consumer,Northbridge Bank,AU,2021-08-08,08/08/2025,Active ,2026-01-05
CARD00720,Meridian Direct,Prepaid,Consumer,Unity Trust Bank,IN,10/31/2023,10/31/2027,active,2026-01-05
CARD00455,Meridian Primary,Debit,Consumer  , Ridgeway Bank ,United Arab Emirates,2019-06-30,45107,active,2026-01-05
CARD00638,MERIDIAN PRIMARY,Debit,Consumer,Harbor National Bank,United Arab Emirates,2022-08-10,08/10/2026,Active,2026-01-05
CARD00681,Meridian Direct,Debit,Consumer,Gulf Horizon Bank,US,05/28/2021,05/28/2025,Active,2026-01-05
CARD00307,meridian primary,Credit,Commercial,  Pacific Rim Bank,IN,43568,2023-04-13,Active ,2026-01-05
CARD00466,Meridian  Primary,Credit,Consumer,Andes Financial Group,IN,2020-08-12,08/12/2024, Active,2026-01-05
CARD00126,Meridian Primary,Credit,Consumer,Gulf Horizon Bank,FR,2019-01-05,01/05/2023,INACTIVE,2026-01-05
CARD00187,Meridian Direct,Debit,Consumer,Unity Trust Bank,United States,2021-01-16,01/16/2025,ACTIVE,2026-01-05
CARD00777,Meridian Primary,Credit,Consumer,Gulf Horizon Bank,IN,2021-02-02,2025-02-02,Inactive,2026-01-05
CARD00464,Meridian Primary,Credit,Consumer,Gulf Horizon Bank,BR,2023-04-06,06-04-2027,Active,2026-01-05
CARD00787,Meridian Primary,Debit,Consumer,Harbor National Bank,gb,2022-09-21,09/21/2026,ACTIVE,2026-01-05
CARD00051,meridian affiliate,Credit,Consumer,Meridian Community Bank,United Kingdom,2020-06-22,06/22/2024,Active,2026-01-05
CARD00646,Meridian Direct,Credit,Consumer,  Gulf Horizon Bank,AE,04/13/2022,2026-04-13,active,2026-01-05
CARD00669,Meridian Primary,Debit,Consumer,Andes Financial Group,sg,08-09-2019,2023-09-08,Inactive,2026-01-05
CARD00778,MERIDIAN DIRECT,Debit,Consumer,EuroTrust Bank,IN,2025-01-31,2029-01-31,active,2026-01-05
CARD00597,Meridian Primary,Credit,Consumer,Silverline Bank,DE,2022-01-11,11-01-2026,active,2026-01-05
CARD00351  ,Meridian Primary,Debit,Consumer,Meridian Community Bank,JP,29-03-2024,2028-03-29,expired,2026-01-05
CARD00776,Meridian Primary,Credit,Consumer,Andes Financial Group,us,06/02/2022,2026-06-02,Active,2026-01-05
CARD00064,Meridian Primary,Credit,Consumer,Pacific Rim Bank,India,2022-01-04,2026-01-04,Active,2026-01-05
CARD00099,Meridian Primary,Credit,Commercial,Pacific Rim Bank,US,2019-03-06,2023-03-06,Active,2026-01-05
CARD00420,Meridian Direct,Credit,Consumer,Northbridge Bank,India,04/09/2025,2029-04-09, Active,2026-01-05
CARD00619,Meridian Direct,Credit,Commercial,Pacific Rim Bank,US,2024-12-02,47089,Active,2026-01-05
CARD00563,Meridian  Primary,Debit,Consumer,Meridian Community Bank,Australia,2020-08-27,08/27/2024,Active,2026-01-05
CARD00233,meridian primary,Credit,Consumer,Pacific Rim Bank,IN,2021-02-15,02/15/2025,Active,2026-01-05
CARD00533  ,Meridian Affiliate,Credit,Consumer,Silverline Bank,MX,2022-04-09,04/09/2026,Active,2026-01-05
CARD00694,Meridian Primary,Credit,Consumer  ,Gulf Horizon Bank,United Kingdom,2021-05-09,05/09/2025,Active,2026-01-05
CARD00067,Meridian Primary,Credit,Consumer,  Gulf Horizon Bank,France,2019-01-07,44933,Active,2026-01-05
CARD00581,Meridian Primary,Credit,Consumer,Meridian Community Bank,us,2022-04-12,46124,Active,2026-01-05
CARD00010,Meridian  Direct,Credit,Consumer,Harbor National Bank,United Kingdom,45850,2029-07-12,Active ,2026-01-05
CARD00586,Meridian Primary,Credit,Commercial,Crestview Bank,mx,12/01/2024,2028-12-01,Inactive,2026-01-05
CARD00352,Meridian Direct,Debit,Consumer,Silverline Bank,Australia,44389,07/12/2025,ACTIVE,2026-01-05
CARD00363,MERIDIAN PRIMARY,Credit,Consumer,Unity Trust Bank,US,01/14/2023,46401,Active,2026-01-05
CARD00529,Meridian Primary,Debit,Commercial,Gulf Horizon Bank,BR,06/12/2023,2027-06-12,Active,2026-01-05
CARD00423,Meridian Primary,Credit,Commercial,Gulf Horizon Bank,Germany,2020-02-10,45332,Active ,2026-01-05
CARD00223,Meridian Primary,Prepaid,Consumer,EuroTrust Bank,Brazil,01/13/2023,2027-01-13,Active,2026-01-05
CARD00593,Meridian  Primary,Credit,Consumer,Gulf Horizon Bank,br,2020-04-25,04/25/2024,Active,2026-01-05
CARD00673,MERIDIAN PRIMARY,Debit,Consumer,Harbor National Bank,BR,08/12/2020,45516, Active,2026-01-05
CARD00065,MERIDIAN PRIMARY,Credit,Commercial,Unity Trust Bank,DE,2024-12-14,12/14/2028,Active,2026-01-05
CARD00534,meridian primary,Prepaid,Consumer,EuroTrust Bank,IN,2021-08-02,2025-08-02,Active,2026-01-05
CARD00147  ,Meridian Primary,Credit,Consumer,Andes Financial Group,IN,12/06/2021,2025-12-06,Active,2026-01-05
CARD00205,meridian primary,Debit,Consumer,Silverline Bank,IN,06/17/2023,2027-06-17,Active,2026-01-05
CARD00160  ,Meridian Direct,Debit,Consumer,Andes Financial Group,US,11/20/2019,45250,Active,2026-01-05
CARD00709  ,Meridian Primary,Debit,Consumer,EuroTrust Bank,United States,04-04-2019,04/04/2023,ACTIVE,2026-01-05
CARD00568,Meridian Primary,Prepaid,Consumer,Crestview Bank,US,2024-09-20,09/20/2028, Active,2026-01-05
CARD00625,MERIDIAN PRIMARY,Prepaid,Consumer,Meridian Community Bank,US,2024-05-14,2028-05-14,ACTIVE,2026-01-05
CARD00286,Meridian Primary,Credit,Consumer,Pacific Rim Bank,DE,28-02-2020,2024-02-28, Active,2026-01-05
CARD00415,Meridian Primary,Debit,Consumer,Silverline Bank,CA,11/17/2019,2023-11-17,ACTIVE,2026-01-05
CARD00273,Meridian Direct,Credit,Consumer,EuroTrust Bank,GB,03/20/2023,2027-03-20,active,2026-01-05
CARD00421,Meridian Direct,Prepaid,Commercial,Crestview Bank,Australia,04/23/2020,2024-04-23,Inactive,2026-01-05
CARD00169,Meridian Primary,Debit,Consumer,Crestview Bank  ,MX,2020-07-31,07/31/2024,Active,2026-01-05
CARD00671,meridian primary,Debit,Consumer,Northbridge Bank,JP,45002,03/17/2027,Active,2026-01-05
CARD00382,Meridian Direct,Credit,Consumer, Alta Financial ,DE,2023-04-06,04/06/2027,Active ,2026-01-05
CARD00412,MERIDIAN AFFILIATE,Credit,Consumer,Crestview Bank,GB,2020-03-08,2024-03-08,Active,2026-01-05
CARD00447,MERIDIAN AFFILIATE,Credit,Consumer,Harbor National Bank,DE,10/04/2021,10/04/2025,Active,2026-01-05
CARD00658,Meridian Primary,Debit,Consumer,Ridgeway Bank,India,02/03/2023,2027-02-03,Active,2026-01-05
CARD00193,meridian affiliate,Credit,Consumer,EuroTrust Bank,Singapore,2022-06-25,25-06-2026,Active,2026-01-05
CARD00743,Meridian Direct,Debit,Consumer,Harbor National Bank,Brazil,2019-12-22,22-12-2023,ACTIVE,2026-01-05
CARD00390,Meridian Direct,Debit,Consumer,Crestview Bank,GB,05/17/2025,05/17/2029, Active,2026-01-05
CARD00260,MERIDIAN PRIMARY,Debit,Consumer ,Silverline Bank,US,08/12/2024,2028-08-12,Active,2026-01-05
CARD00779,Meridian Direct,Debit,Consumer,Pacific Rim Bank,in,11/23/2020,2024-11-23,Active,2026-01-05
CARD00393,MERIDIAN PRIMARY,Credit,Consumer,  Northbridge Bank,BR,2020-11-28,2024-11-28,Active,2026-01-05
CARD00757,Meridian Primary,Debit,Commercial,Harbor National Bank,US,44101,09/27/2024,Active,2026-01-05
CARD00481,Meridian  Primary,Debit,Consumer,Silverline Bank,BR,01/26/2020,2024-01-26,Active,2026-01-05
CARD00075,Meridian Direct,Credit,Consumer,Ridgeway Bank,IN,14-05-2023,2027-05-14,Active,2026-01-05
CARD00264,Meridian  Primary,Credit,Consumer,Andes Financial Group,CA,2019-10-01,01-10-2023,Active,2026-01-05
CARD00129,meridian primary,Debit,Consumer,Northbridge Bank,FR,2022-11-27,11/27/2026,Active,2026-01-05
CARD00559,Meridian Direct,Credit,Consumer,Crestview Bank,IN,44751,2026-07-09,ACTIVE,2026-01-05
CARD00110,Meridian  Primary,Credit,Consumer,Silverline Bank,AU,2024-02-25,02/25/2028,Active,2026-01-05
CARD00026,Meridian Direct,Prepaid,Consumer,Meridian Community Bank,US,09/16/2022,46281,Active,2026-01-05
CARD00210,Meridian Primary,Credit,Consumer,Andes Financial Group,FR,09-11-2021,11/09/2025,active,2026-01-05
CARD00301,MERIDIAN PRIMARY,Credit,Consumer,Gulf Horizon Bank,GB,10-05-2024,2028-05-10,Active,2026-01-05
CARD00274,Meridian Affiliate,Credit,Consumer,Crestview Bank,CA,07/29/2022,29-07-2026,Active ,2026-01-05
CARD00453,Meridian Primary,Credit,Consumer,Harbor National Bank,SG,2021-03-31,2025-03-31,ACTIVE,2026-01-05
CARD00656,Meridian Primary,Prepaid,Consumer,Andes Financial Group,France,45715,02/27/2029,ACTIVE,2026-01-05
CARD00278,Meridian Primary,Debit,Consumer,Alta Financial,United States,44051,2024-08-08,Active,2026-01-05
CARD00661,Meridian Primary,Credit,Consumer,Andes Financial Group,United States,43778,11/09/2023,Active,2026-01-05
CARD00465,Meridian Affiliate,Credit,Consumer,Meridian Community Bank,SG,2020-06-30,2024-06-30,Active ,2026-01-05
CARD00100,Meridian  Primary,Credit,Consumer,Silverline Bank,gb,03/13/2024,2028-03-13,Active,2026-01-05
CARD00025,Meridian Primary,Credit,Consumer  ,  Gulf Horizon Bank,JP,2022-12-13,2026-12-13,Active,2026-01-05
CARD00359,Meridian Affiliate,Debit,Consumer,Andes Financial Group,FR,2023-12-08,2027-12-08,expired,2026-01-05
CARD00601,Meridian Primary,Credit,Commercial,Pacific Rim Bank,MX,44301,2025-04-15,Inactive,2026-01-05
CARD00448,Meridian Direct,Credit,Consumer,Gulf Horizon Bank,Canada,26-04-2025,2029-04-26,Active,2026-01-05
CARD00383,Meridian Primary,Debit,Consumer,Silverline Bank,United States,02-08-2020,02-08-2024,active,2026-01-05
CARD00501,Meridian  Direct,Credit,Commercial,Alta Financial,CA,09/21/2022,2026-09-21,BLOCKED,2026-01-05
CARD00539,Meridian Primary,Credit,Consumer,Meridian Community Bank,India,2021-06-23,45831,ACTIVE,2026-01-05
CARD00262,Meridian Affiliate,Prepaid,Consumer,Silverline Bank,Germany,13-04-2019,2023-04-13,Active,2026-01-05
CARD00467,Meridian Primary,Credit,Consumer,Alta Financial,Brazil,12/01/2022,01-12-2026,Active,2026-01-05
CARD00071,Meridian Direct,Credit,Consumer,Northbridge Bank,MX,45597,2028-11-01,active,2026-01-05
CARD00571  ,Meridian Primary,Prepaid,Consumer,Alta Financial,US,2024-12-12,2028-12-12,Active,2026-01-05
CARD00542,meridian primary,Credit,Consumer,Harbor National Bank,DE,07/24/2021,24-07-2025,Active,2026-01-05
CARD00376,Meridian Primary,Credit,Commercial,Unity Trust Bank,DE,43713,09/05/2023,Active,2026-01-05
CARD00511,Meridian Primary,Credit,Consumer,Pacific Rim Bank,JP,44008,06/26/2024,Expired,2026-01-05
CARD00741,Meridian Primary,Debit,Consumer,Andes Financial Group,IN,2024-05-31,2028-05-31,Active,2026-01-05
CARD00388,Meridian  Primary,Credit,Consumer,Crestview Bank,United Kingdom,2019-04-22,2023-04-22,Active,2026-01-05
CARD00715,meridian primary,Credit,Commercial,Unity Trust Bank,MX,2023-03-10,10-03-2027,Active ,2026-01-05
CARD00206,Meridian  Primary,Debit,Consumer,EuroTrust Bank,GB,2024-08-16,2028-08-16,Active,2026-01-05
CARD00794,Meridian  Primary,Credit,Consumer,Silverline Bank,ca,2024-05-10,05/10/2028,Active,2026-01-05
CARD00546,Meridian Primary,Credit,Consumer,Ridgeway Bank,DE,2022-03-23,03/23/2026,ACTIVE,2026-01-05
CARD00335,meridian primary,Debit,Consumer,Unity Trust Bank,France,2025-08-02,2029-08-02, Active,2026-01-05
CARD00744,Meridian Primary,Credit,Consumer,Gulf Horizon Bank,mx,2023-04-06,06-04-2027,Blocked,2026-01-05
CARD00172,Meridian Primary,Prepaid,Consumer,Silverline Bank,India,06/24/2020,2024-06-24,Active,2026-01-05
CARD00758,MERIDIAN PRIMARY,Credit,Consumer  ,Unity Trust Bank,US,2019-03-19,19-03-2023,active,2026-01-05
CARD00284,MERIDIAN PRIMARY,Debit,Consumer,Harbor National Bank,GB,04/14/2021,14-04-2025,Active,2026-01-05
CARD00400,Meridian Direct,Credit,Consumer,Pacific Rim Bank,India,2022-02-26,2026-02-26,Active,2026-01-05
CARD00284,MERIDIAN PRIMARY,Debit,Consumer,Harbor National Bank,GB,04/14/2021,14-04-2025,Active,2026-01-05
CARD00543,MERIDIAN PRIMARY,Debit,Consumer,Crestview Bank,US,2024-07-22,2028-07-22,Active,2026-01-05
CARD00023,Meridian Primary,Credit,Consumer,Meridian Community Bank,in,09/25/2025,09/25/2029,ACTIVE,2026-01-05
CARD00663,meridian primary,Credit,Commercial,EuroTrust Bank,US,2023-08-31,2027-08-31,Active,2026-01-05
CARD00230,MERIDIAN PRIMARY,Debit,Consumer,Alta Financial,IN,44290,2025-04-04,Expired,2026-01-05
CARD00003,meridian direct,Debit,Consumer,Meridian Community Bank,GB,2023-02-17,02/17/2027,Active,2026-01-05
CARD00759,Meridian Direct,Debit,Consumer,Alta Financial  ,IN,2023-08-31,2027-08-31,Active,2026-01-05
CARD00271,Meridian  Direct,Credit,Consumer,Gulf Horizon Bank,AU,22-11-2019,45252,Active,2026-01-05
CARD00724,Meridian Direct,Credit,Consumer,Pacific Rim Bank,IN,44294,04/08/2025,ACTIVE,2026-01-05
CARD00699,Meridian  Primary,Credit,Consumer,Meridian Community Bank,US,2019-11-19,2023-11-19,Active,2026-01-05
CARD00133,Meridian Primary,Prepaid,Consumer,Ridgeway Bank,JP,2019-04-30,30-04-2023,Active,2026-01-05
CARD00200,Meridian Direct,Credit,Consumer,Northbridge Bank,MX,2023-06-01,06/01/2027,ACTIVE,2026-01-05
CARD00116,Meridian Direct,Credit,Commercial,Silverline Bank,US,24-07-2020,2024-07-24,Active,2026-01-05
CARD00353,Meridian Primary,Debit,Consumer,Northbridge Bank,DE,2021-08-09,2025-08-09,Active,2026-01-05
CARD00510,Meridian  Direct,Debit,Commercial,Andes Financial Group,IN,2024-03-17,2028-03-17,Active ,2026-01-05
CARD00668,Meridian Primary,Credit,Consumer,Northbridge Bank,BR,29-07-2025,07/29/2029,Active,2026-01-05
CARD00624,Meridian Primary,Credit,Consumer,Northbridge Bank,CA,2022-09-15,09/15/2026,Active,2026-01-05
CARD00066,Meridian Primary,Debit,Commercial,Unity Trust Bank,CA,44356,2025-06-09,Active,2026-01-05
  CARD00240,meridian primary,Credit,Consumer,Alta Financial,US,2021-06-23,2025-06-23,Active,2026-01-05
CARD00052,Meridian Direct,Debit,Consumer,Harbor National Bank,Brazil,2025-03-14,2029-03-14,Active ,2026-01-05
CARD00361,Meridian Primary,Debit,Consumer,Silverline Bank,Germany,2019-01-21,2023-01-21,Active,2026-01-05
CARD00301,MERIDIAN PRIMARY,Credit,Consumer,Gulf Horizon Bank,GB,10-05-2024,2028-05-10,Active,2026-01-05
CARD00615,Meridian Direct,Credit,Consumer,Meridian Community Bank,United Kingdom,2025-08-01,2029-08-01,active,2026-01-05
