TXN_ID,TXN_DATE,CARD_NO,MERCH_ID,TYPE,AMT,CCY,STATUS,FLAG_INTL
TXN0004144,27-05-2024,CARD00728,MERC00033,PURCHASE,49.76,MXN,A,0
TXN0007301,18-04-2024,CARD00681,MERC00349,PURCHASE,60.95,USD,A,0
TXN0003349,12-05-2024,CARD00413,MERC00308,PURCHASE,95.85,GBP,A,1
TXN0011863,13-01-2024,CARD00130,MERC00070,BALANCE TRANSFER,329.6,AUD,A,0
TXN0011084,45417,  CARD00327,MERC00395,ATM WITHDRAWAL,100.0,INR,A,0
TXN0014838,02-05-2024,CARD00411,  MERC00395,ATM WITHDRAWAL,20.0,INR,A,0
TXN0007676,03-01-2024,CARD00420,MERC00302,PURCHASE,83.57,INR,A,0
TXN0000905,29-01-2024,CARD00088,MERC00232,BALANCE TRANSFER,477.17,USD,A,0
TXN0015610,03-05-2024,  CARD00560,MERC00061,PURCHASE,38.43,BRL,A,0
TXN0005704,02-05-2024,CARD00510,MERC00330,PURCHASE,$379.47,INR,A,0
TXN0007016,20-02-2024,CARD00365,MERC00250,PURCHASE,20.3,INR,A,0
TXN0015086,27-04-2024,CARD00274  ,MERC00297,PURCHASE,48.18,CAD,A,0
TXN0010197,45446,CARD00182,MERC00289,PURCHASE,330.01,BRL,A,0
TXN0009991,02-06-2024,CARD00134,MERC00201,PURCHASE,37.78,USD,A,0
TXN0011417,30-03-2024,CARD00376,MERC00347,PURCHASE,80.14,EUR,A,0
TXN0001909,14-06-2024,CARD00691,MERC00165,PURCHASE,26.3,CAD,A,0
TXN0014224,31-03-2024,CARD00647,MERC00242,PURCHASE,115.21,INR,A,0
TXN0010667,05-04-2024,CARD00466,MERC00329,PURCHASE,21.18,INR,A,0
TXN0011506,45317,CARD00460,MERC00162,PURCHASE,94.32,USD,A,0
TXN0009659,19-03-2024,CARD00133,MERC00295,PURCHASE,39.19,JPY,A,0
TXN0004576,24-02-2024,CARD00771,MERC00057,PURCHASE,56.55,CAD,A,0
TXN0000863,26-01-2024,CARD00771,MERC00210,PURCHASE,51.5,CAD,A,0
TXN0005622,45428,CARD00305,MERC00393,ATM WITHDRAWAL,200.0,USD,A,0
TXN0011826,02-03-2024,CARD00108,MERC00018,PURCHASE,57.57,USD,A,0
TXN0000527,16-01-2024,CARD00567,MERC00184,PURCHASE,52.13,USD,A,0
TXN0007403,03-05-2024,CARD00706,MERC00389,ATM WITHDRAWAL,200.0,INR,A,0
TXN0004196,18-06-2024,CARD00238,MERC00070,PURCHASE,52.82,AUD,A,0
TXN0001397,07-02-2024,CARD00006,MERC00070,BALANCE TRANSFER,397.88,USD,A,1
TXN0010460,23-06-2024,CARD00324,MERC00288,CASH ADVANCE,289.94,USD,A,0
TXN0008126,20-06-2024,CARD00129,MERC00312,PURCHASE,65.94,EUR,A,0
TXN0005041,18-05-2024,CARD00048,MERC00382,ATM WITHDRAWAL,200.0,CAD,A,1
TXN0005164,12-04-2024,CARD00538,MERC00029,PURCHASE,27.82,USD,A,0
TXN0004598,01-03-2024,CARD00133,MERC00370,PURCHASE,31.58,JPY,A,0
TXN0013137,45358,CARD00765,MERC00227,PURCHASE,36.96,MXN,A,0
TXN0005806,18-04-2024,CARD00265,MERC00353,PURCHASE,1249.62,AUD,A,0
TXN0005144,13-02-2024,CARD00636,MERC00280,PURCHASE,15.7,BRL,A,0
TXN0004253,30-03-2024,CARD00571,MERC00013,PURCHASE,143.32,USD,A,0
TXN0001756,07-06-2024,CARD00504,MERC00173,PURCHASE,246.11,USD,A,0
TXN0006653,08-03-2024,CARD00593,MERC00217,PURCHASE,76.67,BRL,A,0
TXN0011817,28-03-2024,CARD00424,MERC00024,PURCHASE,262.9,JPY,A,0
  TXN0003025,31-01-2024,CARD00010,MERC00193,PURCHASE,8.45,GBP,A,0
TXN0012153,08-01-2024,CARD00250,MERC00086,PURCHASE,176.1,MXN,A,0
TXN0014368,30-06-2024,CARD00545,MERC00142,PURCHASE,63.4,INR,A,0
TXN0010783,17-01-2024,CARD00716,MERC00233,PURCHASE,49.78,MXN,A,0
TXN0013398,08-06-2024,CARD00648,MERC00148,PURCHASE,31.88,USD,A,0
TXN0014884,45336,CARD00047,MERC00352,PURCHASE,6.95,INR,A,0
TXN0005075,23-04-2024,CARD00132,MERC00100,PURCHASE,10.08,INR,A,0
TXN0004397,14-04-2024,CARD00107,MERC00270,PURCHASE,50.39,JPY,A,1
TXN0015156,18-05-2024,CARD00378,MERC00214,PURCHASE,196.59,AED,A,0
TXN0009352,25-06-2024,CARD00742,MERC00332,PURCHASE,41.11,CAD,A,0
TXN0001295,10-02-2024,CARD00325,MERC00207,PURCHASE,26.89,GBP,A,0
TXN0011834,26-06-2024,CARD00019,MERC00185,PURCHASE,93.12,GBP,A,0
TXN0003228,17-04-2024,CARD00036,MERC00009,PURCHASE,177.77,GBP,A,0
TXN0010812,04-03-2024,CARD00535,MERC00206,PURCHASE,72.1,USD,A,0
TXN0010049,17-06-2024,CARD00168,MERC00152,PURCHASE,58.61,INR,A,0
TXN0004066,11-03-2024,CARD00768,MERC00356,BALANCE TRANSFER,541.53,AUD,A,0
TXN0005884,45414,CARD00711,MERC00054,PURCHASE,53.11,INR,A,0
TXN0009039,13-04-2024,CARD00202,MERC00372,ATM WITHDRAWAL,100.0,EUR,A,0
TXN0006081,23-05-2024,CARD00190,MERC00172,CASH ADVANCE,732.46,JPY,A,0
TXN0000965,22-05-2024,CARD00123,MERC00270,PURCHASE,17.66,USD,A,0
TXN0001781,20-01-2024,CARD00759,MERC00389,ATM WITHDRAWAL,300.0,INR,A,0
TXN0009109,25-06-2024,CARD00130,MERC00240,PURCHASE,40.79,AUD,A,0
TXN0012471,09-02-2024,CARD00189,MERC00112,PURCHASE,70.73,INR,A,0
TXN0010465,26-02-2024,CARD00362,MERC00111,CASH ADVANCE,610.52,EUR,A,0
TXN0009727,05-05-2024,CARD00357,MERC00332,PURCHASE,115.84,CAD,A,0
TXN0013672,24-04-2024,CARD00680,MERC00131,PURCHASE,9.99,BRL,A,0
TXN0010839,05-04-2024,CARD00729,MERC00193,PURCHASE,306.9,GBP,A,0
TXN0003605,18-01-2024,CARD00604,MERC00222,PURCHASE,38.75,EUR,A,0
TXN0005396,12-04-2024,CARD00446,MERC00004,PURCHASE,23.14,SGD,A,0
TXN0009472,01-05-2024,CARD00261,MERC00101,PURCHASE,$60.15,MXN,A,0
TXN0014633,45470,CARD00705,MERC00293,PURCHASE,45.51,INR,A,0
TXN0009211,45469,CARD00210,MERC00111,PURCHASE,102.39,EUR,A,0
TXN0007088,18-05-2024,CARD00296,MERC00068,PURCHASE,$57.79,BRL,A,0
TXN0006887,03-04-2024,CARD00667,MERC00075,PURCHASE  ,44.53,BRL,A,1
TXN0015590,11-01-2024,CARD00688,MERC00115,PURCHASE,29.97,INR,A,0
TXN0008499,03-05-2024,CARD00607,MERC00188,PURCHASE,33.11,USD,A,0
TXN0014500,26-01-2024,CARD00312,MERC00258,PURCHASE,721.12,USD,A,0
TXN0001490,09-05-2024,CARD00412,MERC00207,PURCHASE,39.11,GBP,A,0
TXN0009874,27-04-2024,CARD00785,MERC00207,PURCHASE,32.88,GBP,A,0
TXN0002839,03-04-2024,CARD00690,MERC00187,PURCHASE,74.36,AUD,A,0
TXN0006944,12-06-2024,CARD00531,MERC00063,PURCHASE,$13.15,BRL,A,0
TXN0014519,29-03-2024,CARD00112,MERC00321,PURCHASE,112.1,AED,A,0
TXN0007058,17-04-2024,CARD00464,MERC00087,PURCHASE,47.01,BRL,A,1
TXN0015873,45459,CARD00791,MERC00285,CASH ADVANCE,$278.36,GBP,A,0
TXN0001420,12-04-2024,CARD00044,MERC00334,PURCHASE,31.73,AUD,A,0
TXN0012284,28-05-2024,CARD00753,MERC00211,PURCHASE,78.21,USD,A,1
TXN0013363,09-02-2024,CARD00741,MERC00126,PURCHASE,59.62,INR,A,0
TXN0012528,18-05-2024,CARD00032,MERC00004,PURCHASE,140.77,SGD,A,0
TXN0003403,25-04-2024,CARD00587,MERC00074,CASH ADVANCE,1167.84,AUD,A,0
TXN0003220,28-01-2024,CARD00763,MERC00136,PURCHASE,41.43,BRL,A,0
TXN0011945,45381,CARD00200,MERC00056,PURCHASE,208.1,MXN,A,0
TXN0010495,28-04-2024,CARD00210,MERC00222,PURCHASE,138.99,EUR,A,0
TXN0007663,06-05-2024,CARD00150,MERC00145,PURCHASE,18.44,INR,A,0
TXN0013561,13-05-2024,CARD00321,MERC00361,PURCHASE,16.08,INR,A,0
TXN0015013,09-05-2024,CARD00198,MERC00309,PURCHASE,$31.05,USD,A,0
TXN0001334,16-03-2024,CARD00270,MERC00253,PURCHASE,80.1,SGD,A,0
TXN0008461,11-04-2024,CARD00691,MERC00047,PURCHASE,60.66,CAD,A,0
TXN0012392,22-05-2024,CARD00298,MERC00073,PURCHASE,181.23,AUD,A,0
TXN0012288,15-02-2024,CARD00581,MERC00284,PURCHASE,321.71,USD,A,0
TXN0014795,45399,CARD00665,MERC00062,CASH ADVANCE,$145.75,EUR,A,0
TXN0010987,10-06-2024,CARD00524,MERC00053,PURCHASE  ,9.95,BRL,A,0
TXN0006690,31-03-2024,CARD00149,MERC00083,PURCHASE,192.63,INR,A,0
TXN0012251,06-04-2024,CARD00643,MERC00398,ATM WITHDRAWAL,60.0,USD,A,0
TXN0012183,25-02-2024,CARD00189,MERC00139,PURCHASE,$9.35,INR,A,0
TXN0001841,21-05-2024,CARD00750,MERC00378,ATM WITHDRAWAL,20.0,EUR,A,0
TXN0003790,31-05-2024,CARD00546,MERC00291,PURCHASE,116.88,EUR,A,0
TXN0002625,19-03-2024,CARD00564, MERC00279 ,PURCHASE,56.26,USD,A,0
TXN0005965,08-06-2024,CARD00264,MERC00266,PURCHASE,108.58,CAD,A,0
TXN0002151,06-05-2024,CARD00131,MERC00161,PURCHASE,15.27,INR,A,0
TXN0003194,08-01-2024,CARD00179,MERC00217,BALANCE TRANSFER,511.96,BRL,A,0
TXN0006261,23-04-2024,CARD00387,MERC00285,PURCHASE,150.31,GBP,A,0
TXN0003709,18-06-2024,CARD00555,MERC00056,PURCHASE,24.56,MXN,A,0
TXN0014557,04-01-2024,CARD00121,MERC00262,PURCHASE,109.63,AED,A,0
TXN0002917,26-05-2024,CARD00341,MERC00179,PURCHASE,86.45,AUD,A,0
TXN0003781,08-06-2024,CARD00158,MERC00392,ATM WITHDRAWAL,40.0,USD,A,0
TXN0014655,16-06-2024,CARD00472,MERC00120,PURCHASE,37.72,JPY,A,0
TXN0005239,01-02-2024,CARD00219,MERC00049,PURCHASE,69.81,EUR,A,0
TXN0012654,30-01-2024,CARD00459,MERC00094,PURCHASE,99.0,USD,A,0
TXN0003721,01-03-2024,CARD00642,MERC00193,PURCHASE,328.19,GBP,A,0
TXN0011248,13-05-2024,CARD00257,MERC00355,PURCHASE,62.21,SGD,A,0
TXN0015616,13-02-2024,CARD00016,MERC00199,PURCHASE,109.98,CAD,A,0
TXN0008545,45434,CARD00051,MERC00009,PURCHASE,97.14,GBP,A,0
TXN0010866,03-01-2024,CARD00367,MERC00380,ATM WITHDRAWAL,40.0,CAD,A,1
TXN0004863,13-03-2024,CARD00370,MERC00121,PURCHASE,74.23,EUR,A,0
TXN0006765,45376,CARD00564,MERC00008,PURCHASE  ,135.75,USD,A,0
TXN0012606,14-01-2024,CARD00567,MERC00038,PURCHASE,43.73,USD,D,0
TXN0009323,01-02-2024,CARD00483,MERC00205,PURCHASE,10.96,SGD,A,1
TXN0014531,20-03-2024,CARD00027,MERC00089,PURCHASE,34.59,AED,A,0
TXN0003216,18-04-2024,CARD00297,MERC00100,PURCHASE,26.7,INR,A,0
TXN0015037,15-06-2024,CARD00175,MERC00229,PURCHASE,19.01,INR,A,0
TXN0006388,01-02-2024,CARD00528,MERC00358,PURCHASE,240.3,MXN,A,0
TXN0010615,45401,CARD00445,MERC00158,PURCHASE,741.67,EUR,A,0
TXN0004929,07-01-2024,CARD00642  ,MERC00385,ATM WITHDRAWAL,60.0,GBP,A,0
TXN0011000,45413,CARD00770,MERC00398,ATM WITHDRAWAL,20.0,USD,A,0
TXN0014093,45466,CARD00102,MERC00281,PURCHASE,269.76,USD,A,0
TXN0013469,11-03-2024,CARD00628,MERC00268,PURCHASE,12.54,INR,A,0
TXN0009964,11-02-2024,CARD00485,MERC00391,ATM WITHDRAWAL,40.0,USD,A,0
TXN0000562,22-04-2024,CARD00464,MERC00061,PURCHASE,191.25,BRL,A,0
TXN0001785,14-05-2024,CARD00196,MERC00218,PURCHASE,22.45,USD,A,0
TXN0013675,15-01-2024,CARD00202,MERC00345,PURCHASE,10.65,EUR,A,0
TXN0008313,15-03-2024,CARD00434,MERC00378,ATM WITHDRAWAL,$60.00,INR,A,1
TXN0005000,03-05-2024,CARD00136,MERC00303,PURCHASE,651.43,USD,A,0
TXN0012965,45317,CARD00692,MERC00084,PURCHASE,123.6,MXN,A,0
TXN0012115,13-05-2024,CARD00544,MERC00320,PURCHASE,18.32,USD,A,0
TXN0005720,07-04-2024,CARD00600,MERC00393,ATM WITHDRAWAL,200.0,USD,A,0
TXN0011081,30-03-2024,CARD00684,MERC00269,PURCHASE,32.0,EUR,A,0
TXN0008681,11-06-2024,CARD00306,MERC00152,PURCHASE,$47.01,INR,A,0
TXN0001583 ,12-03-2024,CARD00433,MERC00126 ,PURCHASE,14.69,INR,A,0
TXN0003746,04-06-2024,CARD00323,MERC00387,ATM WITHDRAWAL,150.0,AUD,A,0
TXN0004317,24-02-2024,CARD00052,MERC8857,PURCHASE,26.05,BRL,A,0
TXN0014965,11-06-2024,CARD00312,MERC00123,PURCHASE,70.43,USD,A,0
TXN0006639,11-04-2024,CARD00541,MERC00237,PURCHASE,43.29,SGD,A,0
TXN0007901,28-02-2024,CARD00129,MERC00158,PURCHASE,16.55,EUR,A,0
TXN0005314,45426,CARD00607,MERC00321,  BALANCE TRANSFER,315.47,USD,A,1
TXN0015447,45403,CARD00547,MERC00033,PURCHASE,21.76,MXN,A,0
TXN0001023,13-01-2024,CARD00638,MERC00318,PURCHASE,136.57,AED,A,0
TXN0012238,08-05-2024,CARD00411,MERC00100,PURCHASE,21.56,INR,A,0
TXN0011530,30-06-2024,CARD00243,MERC00291,CASH ADVANCE,575.28,EUR,A,0
TXN0009794,45462,CARD00394,MERC00040,PURCHASE,65.48,BRL,A,0
TXN0002217,27-03-2024,CARD00139,MERC00096,PURCHASE,31.26,EUR,A,1
TXN0004065,20-03-2024,  CARD00372,MERC00240,PURCHASE,41.41,AUD,A,0
TXN0015687,28-05-2024,CARD00561,MERC00386,ATM WITHDRAWAL,20.0,INR,A,0
TXN0013227,26-03-2024,CARD00418,MERC00179,PURCHASE,319.98,AUD,A,0
TXN0013177,16-06-2024,CARD00596,MERC00353,PURCHASE,83.06,AUD,A,0
TXN0011954,16-02-2024,CARD00224,MERC00086,PURCHASE,73.23,MXN,A,0
TXN0014182,45460,CARD00430,MERC00006,PURCHASE,50.02,BRL,A,0
TXN0007907,45350,CARD00415,MERC00165,PURCHASE,111.55,CAD,A,0
TXN0014889,13-05-2024,CARD00040,MERC00171,PURCHASE,459.14,USD,A,0
TXN0008744,10-06-2024,CARD00278,MERC00393,ATM WITHDRAWAL,300.0,USD,A,0
TXN0007304,27-05-2024,CARD00027,MERC00392,ATM WITHDRAWAL,100.0,AED,A,1
TXN0010254,10-05-2024,CARD00626,MERC00028,PURCHASE,27.95,SGD,A,0
TXN0005325,45472,CARD00318,MERC00130,PURCHASE,160.11,EUR,A,0
TXN0007556,26-04-2024,CARD00596,MERC00356,PURCHASE,23.63,AUD,A,0
TXN0006225,45340,CARD00508,MERC00350,PURCHASE,$120.11,GBP,A,0
TXN0003332,08-04-2024,CARD00748,MERC00029,PURCHASE,62.96,USD,A,0
TXN0007395,06-04-2024,CARD00326,MERC00142,PURCHASE,72.74,INR,A,0
TXN0007421,45378,CARD00544,MERC00331,PURCHASE,46.26,USD,A,0
TXN0012745,24-03-2024,CARD00126,MERC00222,PURCHASE,94.48,EUR,A,0
TXN0002691,08-03-2024,CARD00358,MERC00134,PURCHASE,131.98,INR,A,0
TXN0005674,27-03-2024,CARD00304,MERC00053,PURCHASE,$13.11,BRL,A,0
TXN0004219,45309,CARD00642,MERC00194,PURCHASE,65.83,GBP,A,0
TXN0008498,18-01-2024,CARD00379,MERC00398,ATM WITHDRAWAL,40.0,USD,A,0
TXN0015577,24-04-2024,CARD00594,MERC00335,PURCHASE,$39.07,CAD,A,0
TXN0010817,10-03-2024,CARD00730,MERC00071,PURCHASE,34.21,JPY,A,0
TXN0011051,01-04-2024,CARD00132,  MERC00211,PURCHASE,45.25,INR,A,0
TXN0013918,10-04-2024,CARD00374,MERC00257,PURCHASE,$148.04,INR,A,0
TXN0014595,17-05-2024,CARD00498,MERC00392,ATM WITHDRAWAL,60.0,USD,A,0
TXN0001106,24-06-2024,CARD00355,MERC00173,BALANCE TRANSFER,847.51,USD,A,0
TXN0015278,03-04-2024,CARD00262,MERC00372,ATM WITHDRAWAL,20.0,EUR,A,0
TXN0002974,45304,CARD00564,MERC00042,PURCHASE,$22.84,USD,A,0
TXN0001527,12-01-2024,CARD00108,MERC00298,PURCHASE,96.6,USD,A,0
TXN0005276,31-03-2024,CARD00272,MERC00102,PURCHASE,71.32,INR,A,0
TXN0014205,30-04-2024,CARD00311,MERC00184,PURCHASE,42.47,USD,A,0
TXN0000799,07-03-2024,CARD00606,MERC00072,PURCHASE,$296.39,USD,A,1
TXN0004310,17-06-2024,CARD00381,MERC00209,CASH ADVANCE,685.43,USD,D,0
TXN0015267,45392,CARD00723,MERC00251,PURCHASE,$33.85,JPY,A,0
TXN0000484,10-01-2024,CARD00384,MERC00124,PURCHASE,36.28,JPY,A,0
TXN0000295,45306,CARD00390,MERC00385,ATM WITHDRAWAL,100.0,GBP,A,0
TXN0002055,16-02-2024,CARD00261,MERC00192,PURCHASE,14.55,MXN,A,0
TXN0009732,31-03-2024,CARD00327,MERC00290,PURCHASE,37.25,INR,A,0
TXN0009741,08-03-2024,CARD00290,MERC00215,PURCHASE,109.12,EUR,A,0
TXN0007270,20-02-2024,CARD00622,MERC00153,PURCHASE ,147.11,USD,A,0
TXN0002652,13-01-2024,CARD00715,MERC00394,ATM WITHDRAWAL,300.0,MXN,A,1
TXN0005410,16-02-2024,CARD00743,MERC00021,PURCHASE,159.66,BRL,A,0
TXN0013722,20-05-2024,CARD00444,MERC00278,PURCHASE,57.16,USD,A,0
TXN0013854,23-02-2024,CARD00527 ,MERC00156,PURCHASE,79.76,EUR,A,0
TXN0011972,16-06-2024,CARD00614,MERC00389,ATM WITHDRAWAL,40.0,SGD,A,1
TXN0012443,21-05-2024,CARD00007,MERC00230,PURCHASE,91.23,AUD,A,0
TXN0000120,11-05-2024,CARD00296,MERC00289,PURCHASE,29.5,BRL,A,0
 TXN0012277 ,17-04-2024,CARD00381,MERC00088,PURCHASE,45.54,USD,A,0
TXN0003399,04-02-2024,CARD00651,MERC00376,ATM WITHDRAWAL,40.0,INR,A,0
TXN0000506,01-04-2024,CARD00326,MERC00054,PURCHASE,27.65,INR,A,0
TXN0004726,29-05-2024,CARD00448,MERC00360,PURCHASE,17.07,CAD,A,0
TXN0012124,28-01-2024,CARD00167,MERC00275,PURCHASE,41.3,MXN,A,0
TXN0012383,03-05-2024,CARD00433,MERC00139,PURCHASE,54.21,INR,A,0
TXN0009385,18-06-2024,CARD00329,MERC00346,BALANCE TRANSFER,667.4,MXN,A,0
TXN0005476,06-03-2024,CARD00412,MERC00285,PURCHASE,19.45,GBP,A,0
TXN0005362,06-05-2024,CARD00681,MERC00354,PURCHASE,73.94,USD,A,0
TXN0015947,24-06-2024,CARD00460,MERC00310,PURCHASE,22.9,USD,A,0
TXN0011550,26-05-2024,CARD00148,MERC00049,PURCHASE,$45.72,EUR,A,0
TXN0011473,25-05-2024,CARD00796,MERC00315,PURCHASE,89.38,CAD,A,0
TXN0005389,27-05-2024,CARD00023,MERC00268,PURCHASE,34.18,INR,A,0
