transaction_id,txn_datetime,card_id,merchant_id,card_type,card_country,merchant_country,merchant_name,transaction_type,channel,amount,currency,status,is_cross_border,is_contactless,is_tokenized,switch_msg_count,is_fraud,fraud_amt,source_system,_ingested_at,Unnamed: 0
TXN0008571,2025-03-17T12:53:40Z,CARD00241,MERC00132,Credit,IN,IN,Lakeside Gas & Go,Purchase,POS,$24.33,INR,Approved,N,True,False,3,N,0.0,ECOM-API,2025-03-17 16:45:40,8570
TXN0001922,2025-01-23T08:52:22Z,CARD00377,MERC00249,Credit,FR,FR,Highland Inn,Purchase,E-commerce,32.75,EUR,Approved,N,False,Y,3,0,0.0,ECOM-API,2025-01-23 12:21:22,1921
TXN0006024,2025-06-03 20:21:16,CARD00672,MERC00111,Debit,FR,FR,Ironwood Entertainment,Purchase,E-commerce,51.22,EUR,Approved,N,False,Y,3,N,0.0,POS-GW-3,2025-06-03 21:03:16,6023
TXN0009604,2025-07-01 14:51:44,CARD00026,MERC00013,Prepaid,US,US,Ironwood Drug Store,Purchase,POS,$15.11,USD,Approved,0,0,1,3,False,0.0,ATM-NET,2025-07-01 15:23:44,9603
TXN0006390,2025-03-26T00:00:03Z,CARD00419,MERC00280,Debit,BR,BR,Skyline Entertainment,Purchase,POS,8.62,BRL,Approved,0,N,Y,3,False,0.0,ECOM-API,2025-03-26 03:29:03,6389
TXN0002510,2025-11-27 20:03:50,CARD00522,MERC00097,Credit,DE,DE,Bluepeak Store,Purchase,E-commerce,14.69,EUR,Approved,N,False,True,3,N,0.0,ECOM-API,2025-11-27 23:02:50,2509
TXN0005363,2025-04-25 16:13:28,CARD00203,MERC00310,Debit,US,US,Union Service Station,Purchase,E-commerce,89.85,USD,Approved,0,0,N,3,N,0.0,ATM-NET,2025-04-25 20:06:28,5362
TXN0001329,2025-08-02 04:59:57,CARD00162,MERC00376,Debit,IN,IN,Summit ATM,ATM Withdrawal,ATM,200.0,INR,Approved,N,N,False,3,0,0.0,ATM-NET,2025-08-02 05:38:57,1328
TXN0004409,2025-05-03 21:10:23,CARD00490,MERC00305,Credit,AE,AE,Northgate Service Station,Purchase,POS,34.66,AED,Approved,N,N,Y,3,0,0.0,ECOM-API,2025-05-03 21:24:23,4408
TXN0005844,2024-11-06T09:24:13Z,CARD00556,MERC00197,Debit,IN,IN,Greenway Digital,Cash Advance,E-commerce,768.32,INR,Approved,N,False,1,3,False,0.0,ATM-NET,2024-11-06 12:13:13,5843
TXN0009541,2024-11-28T05:08:01Z,CARD00229,MERC00035,Credit,BR,BR,Highland Pharmacy,Purchase,POS,14.06,BRL,Approved,0,True,N,3,0,0.0,ATM-NET,2024-11-28 09:04:01,9540
TXN0005460,2025-08-02 13:37:41,CARD00144,MERC00257,Debit,IN,IN,Greenway Games,Balance Transfer,POS,757.74,INR,Approved,N,0,Y,3,0,0.0,ECOM-API,2025-08-02 17:09:41,5459
TXN0008909,2024-09-28T23:26:10Z,CARD00386,MERC00077,Prepaid,JP,JP,Cedar Diner,Purchase,E-commerce,22.54,JPY,Approved,N,N,True,3,N,0.0,ECOM-API,2024-09-29 02:39:10,8908
TXN0003594,2025-05-29T15:46:51Z,CARD00076,MERC00329,Credit,IN,IN,Summit Bistro,Purchase,POS,70.04,INR,Approved,N,1,N,3,N,0.0,POS-GW-3,2025-05-29 18:04:51,3593
TXN0013813,2025-10-27T03:30:48Z,CARD00280,MERC00127,Prepaid,GB,GB,Union Health Mart,Purchase,POS,21.29,GBP,Approved,0,1,N,3,False,0.0,POS-GW-3,2025-10-27 06:47:48,13812
TXN0014610,2025-12-26 23:00:12,CARD00672,MERC00096,Debit,FR,FR,Bluepeak Games,Purchase,E-commerce,40.08,EUR,Approved,N,False,Y,3,N,0.0,ATM-NET,2025-12-27 01:34:12,14609
TXN0013729,2025-03-09T16:13:59Z,CARD00614,MERC00353,Credit,SG,AU,Cedar Retail Co.,Purchase,E-commerce,$60.60,SGD,Approved,Y,False,True,3,N,0.0,ATM-NET,2025-03-09 16:32:59,13728
TXN0008583,2025-07-01T02:16:50Z,CARD00477,MERC8807,Credit,SG,SG,Skyline Service Station,Purchase,E-commerce,$84.95,SGD,Approved  ,N,False,Y,3,N,0.0,ECOM-API,2025-07-01 03:47:50,8582
TXN0012914,1736413709,CARD00285,MERC00152,Prepaid,DE,IN,Metro Airlines,Purchase,E-commerce,59.42,EUR, Approved ,Y,N,1,3,N,0.0,ECOM-API,2025-01-09 12:12:29,12913
TXN0013341,2025-08-09 19:59:54,CARD00400,MERC00100,Credit,IN,IN,Harborview Shop,Purchase,E-commerce,14.1,INR,Approved,N,0,1,3,N,0.0,POS-GW-3,2025-08-09 22:27:54,13340
TXN0002216,2025-09-18T14:31:20Z,CARD00579,MERC00128,Credit,BR,GB,Metro Gas & Go,Purchase,POS,17.9,BRL,Approved,True,Y,True,3,False,0.0,ATM-NET,2025-09-18 16:51:20,2215
TXN0013187,1750063662,CARD00070,MERC00091,Prepaid,JP,JP,Summit Department Store,Purchase,POS,17.14,JPY,Approved,N,Y,True,3,False,0.0,ECOM-API,2025-06-16 12:29:42,13186
TXN0007241,2025-03-26 00:56:04,CARD00175,MERC00283,Credit,IN,SG,Highland Shop,Purchase,POS,74.12,INR,Approved,1,Y,1,3,0,0.0,ATM-NET,2025-03-26 01:00:04,7240
TXN0000879,03/23/2025 20:10,CARD00481,MERC00336,Debit,BR,BR,Cedar Retail Co.,Purchase,E-commerce,63.51,BRL,Approved,False,0,Y,3,0,0.0,ECOM-API,2025-03-23 21:36:05,878
TXN0011515,2025-05-11T07:03:35Z,CARD00300,MERC00261,Credit,IN,IN,Union Bistro,Purchase,E-commerce,10.12,INR,Approved,N,0,True,3,N,0.0,POS-GW-3,2025-05-11 08:20:35,11514
TXN0007675,2025-08-01 07:38:37,CARD00309,MERC00038,Debit,US,US,Harborview Retail Co.,Purchase,POS,24.02,USD,Approved,N,Y,Y,3,N,0.0,POS-GW-3,2025-08-01 07:53:37,7674
TXN0007527,2025-08-17T04:49:33Z,CARD00362,MERC00156,Credit,FR,FR,Riverside Diner,Purchase  ,POS,$96.37,EUR,Approved,False,True,True,3,N,0.0,ECOM-API,2025-08-17 06:48:33,7526
TXN0011383,2025-07-24T21:33:09Z,CARD00749,MERC00163,Credit,GB,CA,Highland Entertainment,Purchase,E-commerce,$132.32,GBP,Approved,1,N,N,3,False,0.0,POS-GW-3,2025-07-25 00:17:09,11382
TXN0010282,2024-12-07T00:03:44Z,CARD00760,MERC00340,Prepaid,IN,CA,Silverline Electronics,Purchase,E-commerce,167.51,INR,Approved,True,False,Y,3,N,0.0,ECOM-API,2024-12-07 03:12:44,10281
TXN0001893,2025-02-05 21:38:33,CARD00208,MERC00217,Debit,BR,BR,  Skyline Emporium,Purchase,E-commerce,15.04,BRL,Approved,N,N,1,3,N,0.0,ECOM-API,2025-02-06 01:06:33,1892
TXN0009524,2024-07-13T10:53:33Z,CARD00311,MERC00183,Debit,US,US,Metro Hotel,Purchase,POS,63.89,USD,Approved,N,0,False,3,N,0.0,ECOM-API,2024-07-13 11:06:33,9523
TXN0001474,2025-05-15 05:59:18,CARD00415,MERC00297,Debit,CA,CA,Brookfield Air,Purchase,POS,$77.22,CAD,Approved,N,Y,1,3,N,0.0,ATM-NET,2025-05-15 09:56:18,1473
TXN0010240,2025-02-08T19:46:47Z,CARD00711,MERC00302,Debit,IN,IN,Lakeside Digital,Balance Transfer,POS,1485.73,INR,Approved,N,False,0,3,N,0.0,POS-GW-3,2025-02-08 22:24:47,10239
TXN0012395,2024-11-03 04:13:34,CARD00063,MERC00261,Credit,IN,IN,Union Bistro,Purchase,E-commerce,209.37,INR,  Approved,N,N,1,3,0,0.0,ECOM-API,2024-11-03 08:11:34,12394
TXN0011541,2025-07-08T02:23:29Z,CARD00356,MERC00111,Debit,US,FR,Ironwood Entertainment,Purchase,POS,$399.15,USD,Approved,Y,1,Y,3,0,0.0,ECOM-API,2025-07-08 03:59:29,11540
TXN0007318,2025-07-30T01:23:50Z,CARD00448,MERC00332,Credit,CA,CA,Highland Bistro,Purchase,POS,30.93,CAD,Approved,N,False,False,3,0,0.0,ATM-NET,2025-07-30 03:45:50,7317
TXN0007659,2025-01-04 03:19:43,CARD00658,MERC00076,Debit,IN,IN,Crescent Fuel Stop,Purchase,POS,12.34,INR,Approved,0,1,N,3,N,0.0,ECOM-API,2025-01-04 05:05:43,7658
TXN0006997,2024-07-17T10:16:22Z,CARD00546,MERC00343,Credit,DE,DE,Bluepeak Drug Store,Purchase,E-commerce,62.72,EUR,Approved,0,0,Y,3,0,0.0,ECOM-API,2024-07-17 13:40:22,6996
TXN0010889,2025-09-30 02:04:00,CARD00526,MERC00390,Credit,MX,MX,Cedar ATM,ATM Withdrawal,ATM,20.0,MXN,Approved,N,False,N,3,N,0.0,POS-GW-3,2025-09-30 04:51:00,10888
TXN0010211,2025-05-16T19:51:15Z,CARD00612,MERC00098,Credit,US,US,Metro Arcade,Balance Transfer,POS,573.54,USD,Approved,N,N,Y,3,0,0.0,ECOM-API,2025-05-16 21:10:15,10210
TXN0010533,2024-10-30T06:07:31Z,CARD00264,MERC00317,Credit,CA,US,Summit Air,Purchase,POS,57.57,CAD,Approved,1,N,N,3,0,0.0,ATM-NET,2024-10-30 07:09:31,10532
TXN0007255,2025-07-03 14:54:25,CARD00705,MERC00169,Credit,IN,IN,Northgate Inn,Purchase,E-commerce,441.0,INR,Approved,0,N,True,3,False,0.0,POS-GW-3,2025-07-03 15:57:25,7254
TXN0012775,2025-12-16T21:20:46Z,CARD00239,MERC00389,Credit,IN,IN,Northgate ATM,ATM Withdrawal,ATM,40.0,INR,Approved,N,0,0,3,0,0.0,POS-GW-3,2025-12-16 22:06:46,12774
TXN0005311,2025-02-18 23:39:17,CARD00431,MERC00077,Debit,JP,JP,Cedar Diner,Purchase,E-commerce,17.62,JPY,Approved,False,N,N,3,N,0.0,ECOM-API,2025-02-19 03:07:17,5310
TXN0015060,2025-03-18T17:51:28Z,CARD00560,MERC00095,Debit,BR,BR, Old Town Grill ,Purchase,POS,64.45,BRL,Approved,0,Y,0,3,N,0.0,ECOM-API,2025-03-18 21:01:28,15059
TXN0004366,1758762308,CARD00252,MERC00111,Credit,FR,FR,Ironwood Entertainment,Purchase,E-commerce,43.34,EUR,Approved,N,False,1,3,0,0.0,ECOM-API,2025-09-25 04:26:08,4365
TXN0004755,2025-05-08T13:06:06Z,CARD00093,MERC00101,Debit,MX,MX,Ironwood Arcade,Purchase,POS,49.7,MXN,Approved,N,True,Y,3,False,0.0,ECOM-API,2025-05-08 15:49:06,4754
TXN0000124,2025-06-08T21:29:12Z,CARD00406,MERC00287,Debit,AU,AU,Harborview General Store,Purchase,POS,76.87,AUD,Approved,False,True,N,3,0,0.0,ATM-NET,2025-06-09 01:06:12,123
TXN0002368,2025-10-20 08:48:49,CARD00644,MERC00385,Credit,GB,GB,  Summit ATM,ATM Withdrawal,ATM,40.0,GBP,Approved,N,N,N,3,False,0.0,ATM-NET,2025-10-20 09:25:49,2367
TXN0007868,2024-12-03T19:16:43Z,CARD00244,MERC00051,Debit,US,US,Union Grocers,Purchase,E-commerce,19.85,USD,Declined,0,False,N,1,0,0.0,POS-GW-3,2024-12-03 21:09:43,7867
TXN0008056,2025-10-20T06:25:37Z,CARD00248,MERC00309,Credit,US,US,Metro Department Store,Purchase,POS,$43.13,USD,Approved,False,Y,0,3,False,0.0,ECOM-API,2025-10-20 08:37:37,8055
TXN0014489,2024-12-27T09:15:52Z,CARD00285,MERC00223,Prepaid,DE,DE,Riverside Resort,Purchase,E-commerce,51.62,EUR,Approved,N,0,True,3,0,0.0,ECOM-API,2024-12-27 10:49:52,14488
TXN0008879,2025-08-19T10:51:44Z,CARD00457,MERC00164,Credit,AU,AU,Silverline Hotel,Purchase,POS,75.35,AUD,Approved,0,True,1,3,N,0.0,POS-GW-3,2025-08-19 11:43:44,8878
TXN0002656,2025-10-27T16:19:31Z,CARD00478,MERC00300,Prepaid,JP,JP,Harborview Air,Purchase,POS,65.8,JPY,Approved,False,Y,Y,3,0,0.0,ECOM-API,2025-10-27 19:49:31,2655
TXN0014472,2024-12-01T15:14:16Z,CARD00613,MERC00331,Credit,US,US,Northgate Arcade,Purchase  ,POS,143.28,USD,Approved,N,N,True,3,0,0.0,POS-GW-3,2024-12-01 16:31:16,14471
TXN0003725,1755903665,CARD00196,MERC00310,Credit,US,US,  Union Service Station,Purchase,E-commerce,52.11,USD,Approved,N,False,1,3,False,0.0,ATM-NET,2025-08-23 01:57:05,3724
TXN0002084,2025-08-09 23:23:02,CARD00332,MERC00044,Credit,MX,MX,Summit Market,Balance Transfer,POS,$933.99,MXN,Approved,N,1,N,3,0,0.0,POS-GW-3,2025-08-10 00:06:02,2083
TXN0000535,2025-12-10 22:46:51,CARD00722,MERC00316,Prepaid,AU,AU,  Northgate Gas & Go,Purchase,POS,70.31,AUD,Approved,N,True,1,3,N,0.0,ECOM-API,2025-12-11 01:02:51,534
TXN0007665,2024-07-31 18:23:08,CARD00008,MERC00294,Prepaid,IN,IN, Brookfield Inn ,Purchase,E-commerce,25.03,INR,Approved,N,N,Y,3,False,0.0,ECOM-API,2024-07-31 19:25:08,7664
TXN0005207,2025-12-10T15:05:47Z,CARD00512,MERC00274,Debit,IN,IN,Skyline Air,Purchase,E-commerce  ,29.24,INR,Approved,0,N,Y,3,N,0.0,POS-GW-3,2025-12-10 16:59:47,5206
TXN0007328,2025-04-02T21:09:48Z,CARD00709,MERC00252,Debit,US,US,Brookfield Tech Store,Purchase,POS,46.69,USD,Approved,N,1,N,3,False,0.0,POS-GW-3,2025-04-03 00:43:48,7327
TXN0013488,2025-01-18T19:40:44Z,CARD00073,MERC00016,Debit,BR,BR,Silverline Resort,Purchase  ,POS,46.03,BRL,Approved,N,N,N,3,N,0.0,ECOM-API,2025-01-18 22:09:44,13487
TXN0002800,2025-11-11T15:49:00Z,CARD00448,MERC00135,Credit,CA,CA,Lakeside Inn,Purchase,E-commerce,57.42,CAD,Approved,N,0,1,3,N,0.0,POS-GW-3,2025-11-11 16:55:00,2799
TXN0010765,2025-05-29 05:04:16,CARD00018,MERC00287,Credit,FR,AU,Harborview General Store,Purchase,POS,19.74,EUR,Approved,1,Y,0,3,N,0.0,POS-GW-3,2025-05-29 07:02:16,10764
TXN0013885,2024-08-03T18:12:10Z,CARD00605,MERC00318,Debit,AE,AE,Coastal Retail Co.,Purchase,E-commerce,28.42,AED,Approved,0,0,Y,3,0,0.0,ATM-NET,2024-08-03 22:03:10,13884
TXN0004690,2025-06-08 13:28:19,CARD00304,MERC00006,Prepaid,BR,BR,Bluepeak Department Store,Purchase,POS,$13.41,BRL,Approved,False,Y,N,3,False,0.0,ECOM-API,2025-06-08 14:15:19,4689
TXN0002829,2025-02-04T11:07:25Z,CARD00023,MERC00211,Credit,IN,IN,Highland Tech Store,Purchase,POS,6.39,INR,Approved  ,0,Y,1,3,N,0.0,ECOM-API,2025-02-04 14:48:25,2828
TXN0014858,2025-06-25T21:39:42Z,CARD00679,MERC00326,Debit,US,US,Lakeside Shop,Purchase,E-commerce,15.74,USD,Approved,False,N,0,3,0,0.0,ATM-NET,2025-06-25 23:09:42,14857
TXN0010104,2025-05-08T12:47:48Z,CARD00746,MERC00116,Credit,SG,SG,Skyline Service Station,Purchase,E-commerce,86.12,SGD,Approved,N,0,Y,3,False,0.0,POS-GW-3,2025-05-08 15:04:48,10103
TXN0000957,1762642487,CARD00788,MERC00137,Credit,DE,JP,Coastal Department Store,Purchase,POS,24.05,EUR,Approved,True,1,True,3,N,0.0,POS-GW-3,2025-11-09 00:14:47,956
TXN0011900,10/19/2025 10:59,CARD00033,MERC00098,Credit,US,US,Metro Arcade,Purchase,E-commerce,80.64,USD,Approved,N,N,Y,3,False,0.0,POS-GW-3,2025-10-19 12:33:21,11899
TXN0002399,2024-11-18T01:58:39Z,CARD00716,MERC00114,Credit,MX,MX,Silverline Drug Store,Purchase,POS,52.03,MXN,Approved,0,N,N,3,N,0.0,POS-GW-3,2024-11-18 04:44:39,2398
TXN0012792,2025-09-07T00:15:49Z,CARD00729,MERC00228,Debit,GB,GB,Greenway Grocers,Purchase,POS,397.07,GBP,Approved,N,0,N,3,0,0.0,ECOM-API,2025-09-07 01:23:49,12791
TXN0001126,2025-11-30T13:59:12Z,CARD00028,MERC00327,Credit,DE,DE,Summit Fuel Stop,Purchase,POS,$39.22,EUR,Approved,N,Y,Y,3,False,0.0,ECOM-API,2025-11-30 17:45:12,1125
TXN0001540,2025-08-19T09:15:25Z,CARD00475,MERC00143,Credit,US,US,Bluepeak Games,Purchase,POS  ,65.54,USD,Approved,0,True,Y,3,N,0.0,POS-GW-3,2025-08-19 11:37:25,1539
TXN0000210,2025-11-11 14:45:29,CARD00367,MERC00026,Debit,CA,GB,Bluepeak Fuel Stop,Purchase,POS  ,$60.54,CAD,Approved,True,1,Y,3,N,0.0,ECOM-API,2025-11-11 18:36:29,209
TXN0002215,2024-09-20T05:35:46Z,CARD00069,MERC00318,Debit,AE,AE,Coastal Retail Co.,Purchase,E-commerce,144.81,AED,Approved,N,N,N,3,N,0.0,ECOM-API,2024-09-20 09:11:46,2214
TXN0006716,2025-06-26T04:28:08Z,CARD00193,MERC00208,Credit,SG,SG,Coastal Hotel,Purchase,POS,$42.68,SGD,Approved,0,0,0,3,N,0.0,ATM-NET,2025-06-26 06:44:08,6715
TXN0010671,2024-11-09 20:02:27,CARD00006,MERC00392,Debit,US,US,Cedar ATM,ATM Withdrawal,ATM,40.0,USD,Approved,0,N,N,3,0,0.0,ECOM-API,2024-11-09 22:38:27,10670
TXN0007442,2024-08-27T01:04:55Z,CARD00097,MERC00183,Credit,US,US,Metro Hotel,Purchase,POS,$17.56,USD,Approved,N,Y,Y,3,0,0.0,ATM-NET,2024-08-27 01:12:55,7441
TXN0013739,1767041961,CARD00361,MERC00269,Debit,DE,DE,Skyline Air,Purchase,POS,40.29,EUR,Declined,N,Y,Y,1,N,0.0,ATM-NET,2025-12-29 22:57:21,13738
TXN0007060,2025-09-30T17:03:20Z,CARD00419,MERC00016,Debit,BR,BR,Silverline Resort,Purchase,POS,30.39,BRL,Approved,0,Y,0,3,N,0.0,ECOM-API,2025-09-30 19:12:20,7059
TXN0001629,2024-08-01T16:03:06Z,CARD00388,MERC00190,Credit,GB,SG,Highland Health Mart,Purchase,POS,43.58,GBP,Approved,Y,N,Y,3,N,0.0,ATM-NET,2024-08-01 19:25:06,1628
TXN0011516,2025-10-31T11:08:31Z,CARD00714,MERC00014,Credit,US,US,Greenway Arcade,Purchase,E-commerce,38.49,USD,Declined,N,False,True,1,False,0.0,ATM-NET,2025-10-31 14:02:31,11515
TXN0011497,1729397569,CARD00753,MERC00153,Debit,US,US,Brookfield Health Mart,Purchase,POS,80.49,USD,Approved,0,False,N,3,N,0.0,POS-GW-3,2024-10-20 05:40:49,11496
TXN0001463,2025-04-17T02:29:37Z,CARD00260,MERC00171,Debit,US,US,Metro Shop,Purchase,POS,62.5,USD,Approved,0,True,Y,3,False,0.0,POS-GW-3,2025-04-17 04:26:37,1462
TXN0002811,2025-11-25T04:05:46Z,CARD00555,MERC00044,Credit,MX,MX,  Summit Market,Cash Advance,POS  ,538.08,MXN,Approved,False,Y,1,3,0,0.0,POS-GW-3,2025-11-25 04:15:46,2810
TXN0007589,2024-11-06 10:40:42,CARD00752,MERC00318,Debit,MX,AE,Coastal Retail Co.,Purchase,POS,239.06,MXN,Approved,1,N,N,3,N,0.0,POS-GW-3,2024-11-06 11:03:42,7588
TXN0002923,2024-12-02T08:30:48Z,CARD00668,MERC00063,Credit,BR,BR,Skyline Grill,Purchase, E-commerce ,$23.83,BRL,Approved,False,0,Y,3,N,0.0,ATM-NET,2024-12-02 10:04:48,2922
TXN0010583,2025-08-04 13:42:35,CARD00385,MERC00388,Credit,IN,IN,Skyline ATM,ATM Withdrawal,ATM,40.0,INR,Approved,False,False,N,3,N,0.0,ECOM-API,2025-08-04 15:59:35,10582
TXN0013732,2025-08-24T22:58:28Z,CARD00374,MERC00126,Credit,IN,IN,Lakeside Fresh Foods,Purchase,POS,49.12,INR,Approved,N,True,N,3,N,0.0,POS-GW-3,2025-08-25 02:45:28,13731
TXN0012423,2025-01-14T23:30:21Z,CARD00772,MERC00324,Credit,DE,DE,Summit Airways,Purchase,E-commerce,24.79,EUR,Approved,0,0,Y,3,False,0.0,ECOM-API,2025-01-15 01:54:21,12422
TXN0001335,2025-07-28 16:59:51,CARD00758,MERC00042,Credit,US,US,Silverline Grocers,Purchase,E-commerce,128.73,USD,Approved,N,N,0,3,0,0.0,ECOM-API,2025-07-28 18:22:51,1334
TXN0005559,2025-12-17T18:03:42Z,CARD00623,MERC00363,Credit,AE,AE,Summit Arcade,Purchase,E-commerce,$16.98,AED,Approved,False,N,Y,3,N,0.0,ECOM-API,2025-12-17 20:07:42,5558
TXN0014572,2025-05-18T12:06:33Z,CARD00678,MERC00340,Debit,CA,CA,Silverline Electronics,Purchase,POS,34.59,CAD,Approved,N,Y,True,3,N,0.0,ECOM-API,2025-05-18 13:12:33,14571
TXN0008336,2025-01-16T14:10:53Z,CARD00057,MERC00323,Credit,IN,IN,Coastal Tech Store,Purchase,E-commerce,106.27,INR, Approved ,N,N,Y,3,N,0.0,ECOM-API,2025-01-16 16:34:53,8335
TXN0007825,2025-12-01T14:49:11Z,CARD00353,MERC00269,Debit,DE,DE,Skyline Air,Purchase,POS,13.36,EUR,Approved,0,Y,Y,3,N,0.0,ECOM-API,2025-12-01 18:41:11,7824
TXN0015703,2025-11-18 22:59:14,CARD00024,MERC00074,Credit,AU,AU,Summit Service Station,Purchase,POS,248.78,AUD,Approved,N,True,True,3,N,0.0,POS-GW-3,2025-11-19 00:13:14,15702
TXN0004785,2024-10-17 00:30:12,CARD00226,MERC00298,Credit,US,US,Lakeside Fuel Stop,Purchase,E-commerce,57.42,USD,Approved  ,N,N,N,3,False,0.0,ECOM-API,2024-10-17 03:33:12,4784
TXN0015966,2024-10-12T12:31:15Z,CARD00381,MERC00349,Prepaid,US,US,Ironwood Digital,Purchase,POS,21.71,USD,Approved,N,0,N,3,N,0.0,ECOM-API,2024-10-12 16:26:15,15965
TXN0008284,12/02/2024 19:01,CARD00748,MERC00270,Debit,US,US,Highland Digital,Purchase,POS,45.67,USD,Approved,N,0,False,3,False,0.0,ECOM-API,2024-12-02 22:45:19,8283
TXN0008542,2024-11-04T21:46:27Z,CARD00199,MERC00147,Prepaid,US,US,Silverline Games,Purchase,E-commerce,103.98,USD,Approved,False,N,True,3,False,0.0,POS-GW-3,2024-11-04 21:55:27,8541
TXN0012068,2025-08-18 07:09:53,CARD00072,MERC00340,Credit,US,CA,Silverline Electronics,Purchase,E-commerce,234.21,USD,Approved,Y,False,Y,3,0,0.0,ATM-NET,2025-08-18 08:30:53,12067
TXN0010851,2024-10-18T19:59:02Z,CARD00335,MERC00121,Debit,FR,FR,Lakeside Fresh Foods,Purchase,POS,230.34,EUR,Approved,N,False,N,3,N,0.0,ECOM-API,2024-10-18 22:20:02,10850
TXN0004299  ,2025-04-16 10:27:21,CARD00572,MERC00124,Credit,JP,JP,Brookfield Shop  ,Purchase,POS,50.78,JPY,Approved,False,N,0,3,N,0.0,ATM-NET,2025-04-16 10:58:21,4298
TXN0007788,2025-09-07T02:43:40Z,CARD00050,MERC00306,Debit,FR,JP,Union Fresh Foods,Purchase,POS,20.39,EUR,Approved,True,Y,1,3,N,0.0,ECOM-API,2025-09-07 03:14:40,7787
