Period;Country_Code ;Cross-Border Fees;Domestic Assessments;Other Network Fees;VAS - Cybersecurity;VAS - Data & Analytics;VAS - Fraud & Security Tools;VAS - Open Banking
Jun-25;DE;10,39;3,50;0,84;2,68;1,81;2,13;1,04
Jun-25;FR;31,55;1,69;0,38;2,02;1,40;1,93;1,10
Jun-25;GB;1,86;2,41;0,43;2,62;2,08;2,08;1,25
Jul-25;AE;0,21;1,78;0,22;0,90;0,71;0,72;0,50
Jul-25;DE;2,98;5,51;0,78;3,09;1,87;2,60;1,41
Jul-25;FR;6,33;3,35;0,39;2,56;1,74;1,74;1,02
Jul-25;GB;6,10;3,80;0,55;2,92;1,77;2,31;1,28
Aug-25;AE;0,00;1,79;0,13;0,81;0,73;0,74;0,37
Aug-25;DE;7,69;6,11;0,64;2,42;1,42;1,75;0,92
Aug-25;FR;9,99;4,44;0,40;2,17;1,56;1,77;
Aug-25;GB;10,16;2,36;0,72;2,42;1,74;1,76;0,88
Sep-25;AE;3,18;3,12;0,17;1,02;0,81;0,89;0,48
Sep-25;DE;2,51;3,07;0,66;2,70;2,07;2,01;1,28
Sep-25;FR;2,42;5,24;0,32;2,18;1,33;1,71;1,04
Sep-25;GB;1,20;8,78;0,70;2,81;2,06;2,97;1,44
Oct-25;AE;1,87;6,74;0,30;1,83;1,14;1,42;0,92
Oct-25;DE;9,81;7,50;0,68;3,46;2,16;2,68;1,44
Oct-25;FR;1,43;2,23;0,30;1,27;1,16;1,44;0,63
Oct-25;GB;1,64;2,82;0,50;2,30;1,36;1,64;1,16
Nov-25;AE;1,58;1,38;0,17;0,55;0,31;0,48;0,24
Nov-25;DE;6,17;8,10;0,86;3,80;2,70;3,27;1,87
Nov-25;FR;1,93;3,44;0,55;2,24;1,76;1,93;1,14
Nov-25;GB;7,10;3,15;0,77;3,62;2,44;3,24;1,61
Dec-25;AE;0,46;3,85;0,34;1,66;1,21;1,45;0,70
Dec-25;DE;10,24;7,55;0,91;3,84;2,37;3,59;1,78
Dec-25;FR;19,67;5,58;0,42;2,68;1,83;2,40;1,57
Dec-25;GB;23,82;7,15;0,98;3,16;1,77;2,81;1,49
