month,country,Cross-Border Fees,Domestic Assessments,Other Network Fees,VAS - Cybersecurity,VAS - Data & Analytics,VAS - Fraud & Security Tools,VAS - Open Banking
2025-01-01,JP,10.83,1.43,0.3,1.01,0.64,0.96,0.5
2025-01-01,MX,0.97,3.59,0.44,2.42,1.91,2.48,1.17
2025-01-01,SG,1.01,2.1,0.18,0.78,0.55,0.65,0.3
2025-01-01,US,17.3,14.88,1.27,6.87,5.48,6.64,3.2
2025-02-01,AU,7.56,4.5,0.39,1.67,1.18,1.46,0.61
2025-02-01,BR,4.57,2.51,0.44,2.39,1.56,2.17,0.85
2025-02-01,CA,3.9,1.9,0.35,1.88,1.23,1.53,0.94
2025-02-01,IN,7.6,8.13,0.74,3.65,2.87,3.55,1.91
2025-02-01,JP,3.05,1.46,0.34,0.6,0.43,0.55,0.31
2025-02-01,MX,0.32,2.48,0.24,0.73,0.63,0.77,0.4
2025-02-01,SG,3.94,1.89,0.26,0.61,0.38,0.57,0.25
2025-02-01,US,16.28,16.65,1.53,7.15,4.68,6.22,3.26
2025-03-01,AU,4.27,2.11,0.55,1.43,1.26,1.42,0.65
2025-03-01,BR,26.71,8.79,0.6,3.5,2.81,2.8,1.39
2025-03-01,CA,5.65,3.98,0.41,1.14,0.91,1.1,0.43
2025-03-01,IN,26.85,8.77,0.96,3.68,2.76,4.0,1.92
2025-03-01,JP,20.52,2.33,0.39,3.1,1.91,2.25,1.45
2025-03-01,MX,12.53,4.8,0.54,2.29,1.91,2.07,0.95
2025-03-01,SG,1.29,2.05,0.36,1.71,1.37,1.53,0.83
2025-03-01,US,18.59,17.94,1.56,6.94,4.5,5.9,3.01
2025-04-01,AU,2.99,2.81,0.49,1.82,1.06,1.2,0.68
2025-04-01,BR,25.7,3.53,0.7,1.88,1.23,1.68,0.94
2025-04-01,CA,8.53,1.37,0.38,1.3,0.83,0.88,0.46
2025-04-01,IN,2.85,13.07,1.33,4.37,3.43,4.21,2.4
2025-04-01,JP,16.05,3.41,0.4,1.88,1.41,1.35,0.71
2025-04-01,MX,6.64,2.29,0.4,1.5,1.25,1.5,0.83
2025-04-01,SG,7.28,4.0,0.3,1.52,0.99,1.12,0.6
2025-04-01,US,20.04,12.59,1.27,6.38,5.4,5.31,2.69
2025-05-01,AU,6.84,7.36,0.65,2.39,1.73,2.06,1.12
2025-05-01,BR,0.43,3.71,0.63,1.86,1.47,1.73,0.94
2025-05-01,CA,4.21,4.39,0.44,1.45,1.0,1.26,0.57
2025-05-01,IN,25.43,12.16,1.08,5.45,3.79,5.23,2.35
2025-05-01,JP,9.19,1.38,0.34,1.65,1.0,1.3,0.63
2025-05-01,MX,0.48,2.24,0.35,1.09,0.83,0.88,0.51
2025-05-01,SG,0.0,1.87,0.22,1.37,0.79,1.11,0.61
2025-05-01,US,24.92,14.75,1.9,7.33,5.69,6.86,3.11
2025-06-01,AU,2.09,7.97,0.57,4.09,2.92,3.38,1.7
2025-06-01,BR,4.12,5.99,0.53,2.64,1.86,2.96,1.23
2025-06-01,CA,0.73,3.27,0.42,1.72,1.17,1.53,0.82
2025-06-01,IN,16.73,12.33,1.08,5.42,4.37,5.63,2.44
2025-06-01,JP,11.03,2.4,0.66,2.24,1.56,1.72,0.95
2025-06-01,MX,14.5,1.91,0.32,1.12,0.87,1.09,0.48
2025-06-01,SG,4.73,2.69,0.46,2.68,1.89,2.01,1.25
2025-06-01,US,17.3,9.7,1.64,5.95,3.48,4.4,2.08
2025-07-01,AU,7.0,3.13,0.5,2.04,1.71,1.99,1.02
2025-07-01,BR,9.23,5.15,0.65,2.74,1.64,2.22,1.18
2025-07-01,CA,23.91,1.82,0.55,1.3,1.1,1.32,0.67
2025-07-01,IN,43.28,22.05,1.75,9.43,7.12,9.14,4.43
2025-07-01,JP,9.65,1.4,0.49,3.25,2.22,2.85,1.29
2025-07-01,MX,9.29,3.36,0.39,1.63,1.2,1.25,0.65
2025-07-01,SG,4.8,2.1,0.29,1.68,0.97,1.23,0.67
2025-07-01,US,15.8,17.54,1.55,5.46,3.95,4.7,2.58
2025-08-01,AU,10.97,3.21,0.42,1.82,1.37,1.77,0.82
2025-08-01,BR,0.0,2.32,0.4,1.54,1.05,1.06,0.72
2025-08-01,CA,8.06,2.6,0.39,1.97,1.22,1.49,0.77
2025-08-01,IN,23.73,9.59,1.13,8.77,6.02,6.23,3.56
2025-08-01,JP,11.17,3.53,0.52,2.43,1.61,1.87,1.24
2025-08-01,MX,10.4,2.76,0.43,2.61,1.43,1.99,1.13
2025-08-01,SG,5.78,5.29,0.35,2.4,1.8,1.91,1.26
2025-08-01,US,4.07,20.56,1.89,11.49,8.82,9.29,5.39
2025-09-01,AU,2.03,2.79,0.55,2.91,2.36,2.89,1.49
2025-09-01,BR,0.0,3.75,0.46,2.1,1.28,1.67,1.03
2025-09-01,CA,1.1,2.74,0.38,1.72,1.26,1.3,0.68
2025-09-01,IN,28.52,9.62,1.17,6.64,4.13,5.52,2.71
2025-09-01,JP,9.52,1.98,0.48,1.96,1.27,1.77,1.0
2025-09-01,MX,7.35,4.28,0.46,2.17,1.41,1.86,0.99
2025-09-01,SG,12.54,2.19,0.25,1.33,0.79,1.11,0.6
2025-09-01,US,33.02,17.12,1.65,9.3,6.55,8.36,5.1
2025-10-01,AU,5.03,3.96,0.6,2.06,1.5,1.98,0.97
2025-10-01,BR,11.02,4.22,0.48,2.85,1.63,1.97,1.28
2025-10-01,CA,2.49,2.99,0.58,2.04,1.55,2.12,1.19
2025-10-01,IN,15.88,14.94,1.37,6.35,5.28,5.02,3.29
2025-10-01,JP,2.35,4.72,0.49,2.36,1.68,2.43,1.17
2025-10-01,MX,2.34,3.36,0.45,2.34,1.38,1.67,0.96
2025-10-01,SG,0.63,2.33,0.28,1.47,1.0,1.28,0.66
2025-10-01,US,16.31,11.64,1.3,6.86,5.35,5.58,3.01
2025-11-01,AU,10.68,7.1,0.84,2.58,1.87,2.74,1.35
2025-11-01,BR,11.61,5.24,0.87,3.0,2.5,2.89,1.34
2025-11-01,CA,20.39,6.82,0.59,3.28,2.17,3.09,1.73
2025-11-01,IN,23.52,18.54,1.89,9.2,5.35,8.1,4.21
2025-11-01,JP,14.09,2.36,0.56,1.4,0.98,1.5,0.72
2025-11-01,MX,8.32,4.66,0.45,2.6,1.95,2.06,1.34
2025-11-01,SG,3.64,3.47,0.42,1.46,1.02,1.42,0.71
2025-11-01,US,33.32,22.29,1.89,9.25,8.09,8.22,5.45
2025-12-01,AU,14.39,7.41,0.81,5.35,3.37,4.61,2.19
2025-12-01,BR,15.16,4.29,0.73,3.87,2.7,3.28,1.71
2025-12-01,CA,10.81,2.43,0.44,2.2,1.25,1.86,0.8
2025-12-01,IN,15.35,16.23,1.45,7.47,5.37,5.57,2.93
2025-12-01,JP,3.35,2.94,0.65,2.67,2.04,2.3,1.32
2025-12-01,MX,15.0,3.59,0.5,2.52,2.09,1.97,1.14
2025-12-01,SG,0.32,2.93,0.41,2.45,1.39,2.24,0.98
2025-12-01,US,16.01,17.29,2.61,10.75,6.22,7.6,5.45
